stkcd,year,industry_code,resilience_composite,size,leverage,roa,first_sanction_year
000825,2015,C31,0.25230642525862,25.0061321258545,0.695063710212708,-0.0528148226439953,
000825,2016,C31,0.43764119924106,25.0080451965332,0.681352972984314,0.0140766501426697,
000825,2017,C31,0.679542741160742,25.0340118408203,0.633015275001526,0.0586419999599457,
000825,2018,C31,0.803814055226959,24.9974746704102,0.570825517177582,0.0683583766222,
000825,2019,C31,0.6542870239068,24.9652862548828,0.536267399787903,0.0296750385314226,
000825,2020,C31,0.784562307044169,24.947151184082,0.510333836078644,0.0250280275940895,
000825,2021,C31,0.295718606338992,24.9368648529053,0.474258691072464,0.0924314334988594,
000825,2022,C31,0.150167796770466,25.0117969512939,0.487395644187927,0.0019919325131923,
000825,2023,C31,0.069118163408138,24.9462776184082,0.473703175783157,-0.0185939446091652,
000825,2024,C31,0.965438988481575,24.9358768463135,0.482988864183426,-0.0144421495497227,
000826,2016,N77,0.127701219414714,23.8371810913086,0.634651303291321,0.0462922677397728,
000826,2017,N77,0.79845498916514,24.1917533874512,0.538980901241302,0.0355441197752953,
000826,2018,N77,0.954834483958384,24.3712997436523,0.60833466053009,0.0156039725989103,
000826,2019,N77,0.961860201003826,24.4804840087891,0.616422235965729,0.00901742558926344,
000826,2020,N77,0.924072108681353,24.4372577667236,0.633446335792542,-0.0350923128426075,
000826,2021,N77,0.919822099080082,24.2131404876709,0.651761472225189,-0.138796404004097,
000826,2022,N77,0.97451575932012,24.0052680969238,0.610788643360138,-0.0295220203697681,
000826,2023,N78,0.934829321945622,23.8931713104248,0.645350575447083,-0.0674863159656525,
000826,2024,N78,0.957566593234027,23.7544555664063,0.763701617717743,-0.148768037557602,
000828,2010,G58,0.142706139999979,22.1588077545166,0.282610654830933,0.0837893038988113,
000828,2013,G54,0.079762830667543,22.3805618286133,0.30476701259613,0.0762992724776268,
000828,2014,G54,0.0879289568211503,22.4964504241943,0.297202587127686,0.101786263287067,
000828,2015,G54,0.0869251644791832,22.8422069549561,0.449280560016632,0.0982022732496262,
000828,2017,G54,0.717288721207893,23.0472850799561,0.443656712770462,0.0870321244001389,
000828,2018,G54,0.899812988637609,23.1256637573242,0.40567809343338,0.0958594530820847,
000828,2019,G54,0.885483062099366,23.1914348602295,0.372726440429687,0.0910912826657295,
000828,2021,G54,0.926151925307719,23.5365772247314,0.322195738554001,0.0559991002082825,
000828,2022,G54,0.9763709127563678,23.9992485046387,0.449319094419479,0.0313100852072239,
000828,2024,G54,0.251808708837838,23.577974319458,0.426561534404755,0.0536381006240845,
000829,2010,F52,0.529431023061842,22.8705406188965,0.657798707485199,0.0514613315463066,
000829,2011,F52,0.298265791822634,23.058219909668,0.708561360836029,0.00634196773171425,
000829,2012,F51,0.424556572672597,22.9518661499023,0.682512640953064,-0.00988872908055782,
000829,2013,F51,0.549195835628932,23.1695346832275,0.744002819061279,-0.00242262473329902,
000829,2014,F51,0.0878296989979827,23.1158580780029,0.756689190864563,-0.0330657921731472,
000830,2011,C26,0.312437076278303,23.3014850616455,0.612337112426758,0.0321419984102249,
000830,2012,C26,0.4591146992222,23.4911003112793,0.666944563388824,0.0212588999420404,
000830,2013,C26,0.109032937236598,23.6070079803467,0.68617832660675,0.0171087048947811,
000830,2017,C26,0.80748452598266,24.0473918914795,0.622246503829956,0.0702043622732162,
000830,2018,C26,0.96919343629413,24.0478172302246,0.604659557342529,0.110361881554127,
000830,2024,C26,0.968503929985485,24.3142147064209,0.481198996305466,0.0559959635138512,
000831,2013,C32,0.0557186874321154,21.7823791503906,0.0822407603263855,0.0777438208460808,
000831,2014,C32,0.940828366707528,21.6844635009766,0.052812385819852356,-0.0241027530282736,
000833,2010,C22,0.660087495560795,21.0517253875732,0.405331492424011,0.0659764185547829,
000833,2011,C22,0.532756246480369,21.0250606536865,0.303190559148788,0.0397166460752487,
000833,2012,C22,0.588898969842471,20.9914989471436,0.291327297687531,0.010720681399107,
000833,2013,C22,0.554368109345679,20.8243064880371,0.258289337158203,-0.0959267765283585,
000833,2014,C22,0.0882059065322801,20.9386596679688,0.31574472784996,0.0226918682456017,
000833,2016,C22,0.437625536437774,21.9526634216309,0.230165258049965,0.0113296872004867,
000833,2017,C22,0.553580714135805,21.9413089752197,0.193061038851738,0.0237333755940199,
000833,2018,C22,0.319625665275055,22.1081256866455,0.317656576633453,0.020855026319623,
000833,2019,S91,0.339872768102236,22.1992149353027,0.366032987833023,0.012906176969409,
000833,2020,S91,0.489260009274791,22.3085250854492,0.414681255817413,0.0129115423187613,
000833,2021,S91,0.139178348348702,22.3687648773193,0.397909581661224,0.0548824481666088,
000833,2023,S91,0.0693925556172367,22.4179573059082,0.371743828058243,0.0120999710634351,
000833,2024,S91,0.789522909972975,22.4739112854004,0.336925774812698,0.0476128906011581,
