focal_stkcd,year,supplier_stkcd,supplier_is_listed,node_type,patent_digital_ratio
000858,2024,,0,supplier,
000858,2024,,0,supplier,
000858,2024,,0,supplier,
000858,2024,,0,supplier,
000858,2024,,0,supplier,
000858,2024,,0,supplier,
000858,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
002179,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
601016,2024,,0,supplier,
